"X.SampleID"	"subject"	"timepoint"	"shannon_alpha"	"sample_site"	"sex"	"ID_unique"	"shannon_avg"
"10370.20D10"	"Volunteer 2"	"8"	6.31598082526	"Arm"	"female"	"Volunteer 2Arm"	6.31598082526
"10370.22D9"	"Volunteer 2"	"9"	6.23118785453	"Arm"	"female"	"Volunteer 2Arm"	5.82878473720333
"10370.1C5"	"Volunteer 2"	"0"	3.77401040014	"Armpit"	"female"	"Volunteer 2Armpit"	3.77401040014
"10370.6E12"	"Volunteer 2"	"2"	1.52398225051	"Armpit"	"female"	"Volunteer 2Armpit"	1.47404067377
"10370.8E12"	"Volunteer 2"	"3"	1.59033885652	"Armpit"	"female"	"Volunteer 2Armpit"	1.455551016265
"10370.11D7"	"Volunteer 2"	"4"	3.06595974597	"Armpit"	"female"	"Volunteer 2Armpit"	3.1716966992
"10370.14A10"	"Volunteer 2"	"5"	2.77501247737	"Armpit"	"female"	"Volunteer 2Armpit"	2.77501247737
"10370.15D6"	"Volunteer 2"	"6"	3.37477417655	"Armpit"	"female"	"Volunteer 2Armpit"	3.09407369090333
"10370.18C2"	"Volunteer 2"	"7"	1.87730692058	"Armpit"	"female"	"Volunteer 2Armpit"	1.87730692058
"10370.22D5"	"Volunteer 2"	"9"	2.67823982354	"Armpit"	"female"	"Volunteer 2Armpit"	2.671704705455
"10370.1D10"	"Volunteer 3"	"0"	5.09247409848	"Face"	"female"	"Volunteer 3Face"	5.09247409848
"10370.4E11"	"Volunteer 3"	"1"	4.45194786244	"Face"	"female"	"Volunteer 3Face"	4.54332127707333
"10370.6G1"	"Volunteer 3"	"2"	4.06359525042	"Face"	"female"	"Volunteer 3Face"	4.0960813946925
"10370.8D3"	"Volunteer 3"	"3"	4.28656717748	"Face"	"female"	"Volunteer 3Face"	4.6758259351225
"10370.11B11"	"Volunteer 3"	"4"	3.66854612504	"Face"	"female"	"Volunteer 3Face"	3.81470542768667
"10370.13F12"	"Volunteer 3"	"5"	3.91259022374	"Face"	"female"	"Volunteer 3Face"	3.89887084566333
"10370.18E7"	"Volunteer 3"	"7"	4.392215023	"Face"	"female"	"Volunteer 3Face"	4.46132120467
"10370.20F11"	"Volunteer 3"	"8"	5.84172861665	"Face"	"female"	"Volunteer 3Face"	5.16948862829667
"10370.23F11"	"Volunteer 3"	"9"	4.8416764856	"Face"	"female"	"Volunteer 3Face"	4.770382815685
"10370.1D11"	"Volunteer 3"	"0"	4.78106435316	"Armpit"	"female"	"Volunteer 3Armpit"	5.018691936475
"10370.4F2"	"Volunteer 3"	"1"	5.79889022643	"Armpit"	"female"	"Volunteer 3Armpit"	5.442657164065
"10370.6G5"	"Volunteer 3"	"2"	3.18389554957	"Armpit"	"female"	"Volunteer 3Armpit"	2.91803870043
"10370.8D10"	"Volunteer 3"	"3"	3.50510905871	"Armpit"	"female"	"Volunteer 3Armpit"	4.48034047382
"10370.11C2"	"Volunteer 3"	"4"	5.42924921305	"Armpit"	"female"	"Volunteer 3Armpit"	5.07958064554
"10370.18E11"	"Volunteer 3"	"7"	5.33877946661	"Armpit"	"female"	"Volunteer 3Armpit"	5.610077848215
"10370.20G4"	"Volunteer 3"	"8"	5.60661487833	"Armpit"	"female"	"Volunteer 3Armpit"	5.60661487833
"10370.1D4"	"Volunteer 2"	"0"	5.73916805123	"Foot"	"female"	"Volunteer 2Foot"	4.66624854357
"10370.5B5"	"Volunteer 2"	"1"	7.21894364523	"Foot"	"female"	"Volunteer 2Foot"	5.29036539058
"10370.6F11"	"Volunteer 2"	"2"	5.55156789632	"Foot"	"female"	"Volunteer 2Foot"	4.66837207343
"10370.8F10"	"Volunteer 2"	"3"	3.73433517498	"Foot"	"female"	"Volunteer 2Foot"	5.4375344795325
"10370.11E1"	"Volunteer 2"	"4"	4.42320348145	"Foot"	"female"	"Volunteer 2Foot"	4.5243671831425
"10370.14B3"	"Volunteer 2"	"5"	6.15582486954	"Foot"	"female"	"Volunteer 2Foot"	5.4504572885525
"10370.15E1"	"Volunteer 2"	"6"	4.22978938079	"Foot"	"female"	"Volunteer 2Foot"	3.65778828891667
